formulation,dominant_block,component_label,family,mode_label,positive_rank,eig_index,m,n,p,ar_m,b_m,r_m,r1_m,r2_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,kc_r_fem,kc_r_ana,kc_r1_fem,kc_r1_ana,error_percent,rho_abs,edge_energy,scalar_energy,dominant_energy_ratio,match_space,match_method,mode_status,field_data_kind,field_status,fields_csv_file,vtk_file
E,edge,Et,TE,TE_m1_n0,1,171,1,0,,1,0.5,,,,3.14332680856239,3.141592653589793,3.14332680856239,3.141592653589793,,,,,0.05519986719523674,0.9999999644788402,426.163679614398,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m1_n0_rank01_fields.csv,mixed_rect_E_Et_TE_m1_n0_rank01.vtk
E,edge,Et,TE,TE_m0_n1,2,172,0,1,,1,0.5,,,,6.233207968550781,6.283185307179586,6.233207968550781,6.283185307179586,,,,,0.7954140485351867,0.9999949505167389,763.9640342782278,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m0_n1_rank02_fields.csv,mixed_rect_E_Et_TE_m0_n1_rank02.vtk
E,edge,Et,TE,TE_m2_n0,3,173,2,0,,1,0.5,,,,6.296639159213179,6.283185307179586,6.296639159213179,6.283185307179586,,,,,0.2141247054773302,0.9999681588174445,435.040141636783,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m2_n0_rank03_fields.csv,mixed_rect_E_Et_TE_m2_n0_rank03.vtk
E,edge,Et,TE,TE_m1_n1,4,174,1,1,,1,0.5,,,,6.997143442966131,7.024814731040727,6.997143442966131,7.024814731040727,,,,,0.3939077275920764,0.9998967972173629,696.2108671502967,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m1_n1_rank04_fields.csv,mixed_rect_E_Et_TE_m1_n1_rank04.vtk
E,edge,Et,TE,TE_m2_n1,5,176,2,1,,1,0.5,,,,8.911257138858728,8.885765876316732,8.911257138858728,8.885765876316732,,,,,0.2868774948250417,0.9997787674004275,605.2798296648808,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m2_n1_rank05_fields.csv,mixed_rect_E_Et_TE_m2_n1_rank05.vtk
E,edge,Et,TE,TE_m3_n0,6,178,3,0,,1,0.5,,,,9.468452310784775,9.424777960769379,9.468452310784775,9.424777960769379,,,,,0.4633992460850531,0.9996533162623188,445.4429211103522,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m3_n0_rank06_fields.csv,mixed_rect_E_Et_TE_m3_n0_rank06.vtk
E,edge,Et,TE,TE_m3_n1,7,179,3,1,,1,0.5,,,,11.42744188027735,11.32717339913898,11.42744188027735,11.32717339913898,,,,,0.8852030211349253,0.9997465349548009,555.0577471098378,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m3_n1_rank07_fields.csv,mixed_rect_E_Et_TE_m3_n1_rank07.vtk
E,edge,Et,TE,TE_m0_n2,8,181,0,2,,1,0.5,,,,12.18087406916244,12.56637061435917,12.18087406916244,12.56637061435917,,,,,3.06768403564545,0.9997821036766872,728.2864426528273,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m0_n2_rank08_fields.csv,mixed_rect_E_Et_TE_m0_n2_rank08.vtk
E,edge,Et,TE,TE_m1_n2,9,182,1,2,,1,0.5,,,,12.61297057384132,12.95311834341519,12.61297057384132,12.95311834341519,,,,,2.625991367914812,0.999656525034237,711.9869579030873,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m1_n2_rank09_fields.csv,mixed_rect_E_Et_TE_m1_n2_rank09.vtk
E,edge,Et,TE,TE_m4_n0,10,183,4,0,,1,0.5,,,,12.66107795395152,12.56637061435917,12.66107795395152,12.56637061435917,,,,,0.7536570621602097,0.9997268690458007,466.7130030623272,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_rect_E_Et_TE_m4_n0_rank10_fields.csv,mixed_rect_E_Et_TE_m4_n0_rank10.vtk
